content,class
Charlie from Lost!,0
Eminem THE BEST !,0
"Usually guys I would vote people like this down but actually check out his channel, it reminds me of a smaller version of 8 mile. Give this guy a chance since everyone has to start somewhere!",1
¸¸¸,0
hello friends. i am a young 15 year old rapper trying to make something out of nothing..Please can you take a second of your life and check out my videos and help me reach my Dreams! GoD Bless YOU,1
beautiful song!,0
CHECK OUT MY CHANNEL BOYS AND GIRLS ;),1
hey guys i know its annoying getting spammed sorry bout that but please take a moment to check out my channel  IM A RAPPER with DECENT skills. i want to share my music with more people so take a listen   THUMBS UP SO MORE CAN SEE THIS,1
best rap ever,0
I lover this song,0
hey guys i know you wanna skip over this but please take a chance and check out my music I m a young up and coming rapper with a big dream and i appreciate constructive critisism. so please have a look thank you for your time,1
Love your songs<br />Supper cool<br />,0
I like the music...but is anyone listening to the lyrics?,0
Maybe no one will probably read this. But just in case you do Can You Put A &quot;Thumbs Up &quot;So Others Can See. I Just started rapping seriously (Type in Lunden- 1990 Video) just a simple button? can help my dreams come true. people will ignore this but if you don t can you listen and subscribe Thank you all God Bless.,1
:D,0
Check out my channel for some lyricism.....,1
Me and my big sister like you,0
Not bad,0
I love eminem  &lt;3,0
She looks like Megan FoxÂ ð xD!!,0
Hey Go To My Channel Check Out My Dongs Thanks YouTuber s,1
is that megan fox?,0
You can not hate eminem and nirvana...trust me,0
Like eminen,0
check out my playlist,1
Media is Evil! Please see and share: W W W. THE FARRELL REPORT. NET  Top Ex UK Police Intelligence Analyst turned Whistleblower Tony Farrell exposes a horrific monstrous cover-up perpetrated by criminals operating crimes from inside Mainstream Entertainment and Media Law firms. Beware protect your children!! These devils brutally target innocent people. These are the real criminals linked to London s 7/7 attacks 2005.  MUST SEE AND MAKE VIRAL!!! Also see UK Column video on 31st January 2013.,1
subscribe to my channel who can,1
Simply rap god,0
is that megan fox x:D?,0
I love this song,0
check out my new EM cover video trailer,1
Really good song .<br />you know love song song.,0
Eminem is the greatest artist to ever touch the mic.,0
i love Rihanna ðððð[â§from Thailandâ§],0
some classsic :)))),0
sorry for the spam yall I know itâs annoying. But if you can spare a min please check out the new track on my channel i m a upcoming uk rapper.please come check out my songs u might like em. If not no worries Iâm sorry for wastin your time. Even thumbs up to get more noticed will really help. peace yall,1
"This song is like an oreo, the black part is good but the white part is better",0
That guy charley of lost TV show,0
subscribe to my channel  /watch?v=NxK32i0HkDs,1
 HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1
Hello Brazil ð»âðð»ð,0
EMINEM the best EVER.,0
hey guys look im aware im spamming and it pisses people off but please take a moment to check out my music.  im a young rapper and i love to do it and i just wanna share my music with more people  just click my picture and then see if you like my stuff,1
DO YOU KNOW HOW SEAN KINGSTON GOT FAMOUS WHY DON T YOU LOOK IT UP KID BEFORE YOUR SO HARD ON YOURSELF!!  IF YOU HIT ME UP WITH A MESSAGE IN MY INBOX AND SUBSCRIBE I WILL CHECK OUT YOUR CHANNEL....SOUNDS FAIR TO ME.,1
Best. Song. EVER ð,0
check out eminem latest track survival if u didnt,1
SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1
Check out my videos guy! :) Hope you guys had a good laugh :D,1
3 yrs ago I had a health scare but thankfully Iâm okay. I realized I wasnât living life to the fullest.  Now Iâm on a mission to do EVERYTHING Iâve always wanted to do. If you found out you were going to die tomorrow would you be happy with what youâve accomplished or would you regret not doing certain things? Sorry for spamming Iâm just trying to motivate people to do the things theyâve always wanted to. If youâre bored come see what Iâve done so far! Almost 1000 subscribers and I just started!,1
Rihanna looks so beautiful with red hair ;),0
857.482.940 views AWESOME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic,1
http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote for SONES please....we're against vips....please help us.. &gt;.&lt;,1
"Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz",1
http://psnboss.com/?ref=2tGgp3pV6L this is the song,1
Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB,1
check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :),1
"Subscribe pleaaaase to my instagram account , i'll subscribe back â¥  http://instagram.com/cyrine_ghorbel",1
hey guys!! visit my channel pleaase (i'm searching a dream),1
Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ,1
http://www.twitch.tv/daconnormc,1
Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!,1
Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments,1
https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c,1
https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ,1
https://soundcloud.com/artady please check my stuff; and make some feedback,1
Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ,1
Subscribe me please,1
Check out my covers I have a video coming out  please subscribe,1
Subscribe to My CHANNEL,1
Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!,1
http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342  Please join me to the voice Liked and shared it please to win more audition  score. Thanks so much,1
katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?,1
"iS IN TOP 10 , IN YOUTUBE TOP VIEWS , ON 9 IS MILEY CYRUS: http://www.google.ro/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CB8QFjAA&amp;url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FList_of_most_viewed_YouTube_videos&amp;ei=OQ3yU9DWC8L4yQOYo4GoAw&amp;usg=AFQjCNGKM-Idplal6kuVKoEkVgdTT2jVLQ&amp;sig2=OnqZzad3q3CmNBe9nml4gA&amp;bvm=bv.73231344,d.bGQ&amp;cad=rja ",1
http://www.amazon.com/Knight-Dawn-cursed-Daniel-N-ebook/dp/B00MPPQHRI/ref=sr_1_7?s=digital-text&amp;%3Bie=UTF8&amp;%3Bqid=1408122684&amp;%3Bsr=1-7&amp;%3Bkeywords=knight&amp;tag=wattpad-20     some people are very talented but some are more talented but there is no  sponsor,1
I really love this video.. http://www.bubblews.com/account/389088-sheilcen,1
Hi Guys! check this awesome EDM &amp; House mix :) thanks a lot..  https://soundcloud.com/soundhase/edm-house-mix-2,1
Hiyað I just started YouTube and it would mean a lot if some of you could  subscribe and watch my first video?xx,1
Watch Maroon 5's latest 2nd single from V (It Was Always You) www.youtube. com/watch?v=TQ046FuAu00,1
Help Please!!  http://www.gofundme.com/RJanimalcare,1
http://www.mediafire.com/download/yvovhafsv5qzzqo/Video.rar    download and  make money today ,1
http://www.ebay.com/itm/131275322914?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ,1
"&lt;script&gt;document.write('&lt;a target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt='+Math.floor(Math.random()*999999999)+'""&gt;');&lt;/script&gt;&lt;noscript&gt;&lt;a  target=""_self"" href="" http://rover.ebay.com/rover/1/710-53481-19255-0/1?icep_ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;ipn=psmain&amp;icep_vectorid=229508&amp;kwid=902099&amp;mtid=824&amp;kw=lg""&gt;check  this out new arive on ebay&lt;/a&gt;&lt;img  style=""text-decoration:none;border:0;padding:0;margin:0;"" src="" http://rover.ebay.com/roverimp/1/710-53481-19255-0/1?ff3=1&amp;pub=5575096797&amp;toolid=10001&amp;campid=5337555197&amp;customid=bogdan+grigore&amp;mpt=[CACHEBUSTER] ""&gt;&lt;/noscript&gt;",1
I #votekatyperry for the 2014 MTV #VMA Best Lyric Video! See who's in the  lead and vote:  http://on.mtv.com/Ut15kX,1
https://www.facebook.com/pages/%D8%AA%D8%AD%D9%85%D9%8A%D9%84-%D8%A7%D8%AC%D9%85%D9%84-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89___-music/674732645945877 ,1
"Hello! I'm Marian, I'm a singer from Venezuela! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL MARIAN",1
"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3",0
In what South American jungle or any jungle for that matter do you find an  African elephant and a bengal tiger in the same place. Who made this video.,0
http://9gag.com/gag/aAVpwj9/ =),1
ima rapper trying to get notice please check out my mixtape   datpiff.com/mixtapes-detail.php?id=633807,1
"Its a good song and i like her video clip, because its a bout a girl that  her airplane crashed on a land far far away... and she found the way to  survive! And i love the pet tiget too( Kitty Purpy) lol :D",0
"help me click on the subscribe Mai Nguyen, thank you",1
even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ,1
Thanks to this video we know that Nokia phones can survive a plane crash.,0
http://www.bubblews.com/news/6401116-vps-solutions,1
The TREU DETECTIVE alternate ending! __ http://www.funnyordie.com/videos/d15fb87973/true-defectives,1
The new Makeup Transformation with Integrated Look-A-Like Feature now  available in Ver 1.13! Do you know who you look like? Install or update  your version of Makeup Transformation  https://play.google.com/store/apps/details?id=com.yourelink.makeuptransformation  or visit Google Play.,1
"She named the tiger Kitty Purry  No, seriously, she did, check the video ",0
Perfect! &lt;3,0
"And after the video ends, a 13 ft. boa constrictor squeezes her to death.",0
"should not have paused the music, this is a clip, not a movie.",0
"  HI!:D!:) Weâ re TWIN MELODY ,17 year old twins :) WE DID SOME COVERS!!WE DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS,MERCI,GRACIAS,DANKE,OBRIGADO,GRAZIE â¦.    !!!  &lt;3  XX HAVE A NICE DAY!!:D",1
Nicee!!sabrosura viva https://soundcloud.com/yerki-elinmigrante/yerki-myb-move-your-body,1
"Hey guys go to check my video name ""growtopia my story""",1
http://shhort.com/a?r=HuPwEH5ab,1
YAY IM THE 11TH COMMENTER!!!!!                                    IF YOUR  CRAZY PLEASE DONATE BITCOINS TO ME AT: 1FHeNqx1twqM153v2PTAyieJNEALAhZvEM,1
http://shhort.com/a?r=G8iX5cTKd,1
"I love this song, itÂ´s for empowering every woman :)  ""youÂ´re gonna hear me roar"" ;)",0
This song makes me want to drink bleach,0
If she really did this there she's hardcore,0
http://shhort.com/a?r=Jt2ufxHxc,1
Follow me watch my videos :) Follow me watch my videos :) Follow me watch  my videos :) Follow me watch my videos :) Follow me watch my videos :)  Follow me watch my videos :) Follow me watch my videos :),1
"I'm sorry Katy Perry, I was being weird. I still love you &lt;3",0
I'm not a big fan of the song but this video is awesome!,0
katy perry  just stop it and dont do a song i dont like it,0
 GO TO MY CHANNEL and check out my written songs,1
"Like Gorlin-Goltz Syndrome Support Community, you are not alone. https://www.facebook.com/GorlinGoltzSupport",1
Subscribe and u are gonna hear me roar ;),1
In my opinion I think you look better with black hair then blond hair : ),0
"I loved, she is amazing.. OMG your eyes*_*",0
"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.",1
You gonna hear me ROARRRR.....,0
follow me---&gt; https://twitter.com/f0llowshoutouts ,1
I WILL FINISH THIS DISSERTATION! And I will laugh in its face when I  finish! Roaaarrr =3,0
She's an old Whore!,0
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!,1
ROAAAAARRRRRR ð¯ð¯ð¯,0
This looks so fun and it's a good song,0
"Check out our vids, our songs are awesome! And that I guarantee :)",1
I love You Katy â¥,0
I    loved        it           so       much          because         you          get         to         stand            fear .,0
Click For iTunes code http://shhort.com/a?r=0LaviqU2b,1
Katy perry is and inspirational singer her voice is awesome and I loved her  so much . She achieved music history and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys N katy is still awesome xoxo,1
Hi guys i sell Jack Daniel's Hard Back Cover Case for iPhone 5 5S 5C 4S 4   6'' Old Time with only 3 Dollars on Ebay:  http://www.ebay.com/itm/251638183951?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ,1
https://m.facebook.com/story.php?story_fbid=764484966942313&amp;id=754989901225153&amp;ref=stream  gf,1
subscribe to me,1
3:46 so cute!,0
"i think they were drunk when they shot the first half of the video and then the sec on half comes in, and her boobs are magically bigger and  she's more beautiful suddenly, and the dude practically vanishes ",0
Roar is without a doubt your best song...feel good song with a message for  everyone. Good job Katy,0
The great mother of the jungle. Sweet and natural. I like her videos.,0
http://www.aaas.org/tech-i/vote#view/25874/2177367 VOTE SHELDON PLEASE  GUYS. GIVE IT 5 STARS. THANKS IN ADVANCE,1
Katy has conqueror's haki &gt;:),0
Can you check my videos please? Don't hate me :( Give me one oportunity,1
WOW VERY NICE CONGRASULATION I LIVE SO MUCH http://en.prothom-alo.com/sport/news/53331/Zimbabwe-A-team-due-in-Dhaka-Wednesday ,1
There is 7 bilion poeple on earth Now stop being dumb,0
I love this shit but I disliked it because it's sucks,0
"hey guys i really want to go to a katy perry concert so im in this contest  where i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you i really want to go to her  concert :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ",1
"this video is very inaccurate, a tiger would rip her face of",0
Great video by a great artist in Katy Perry! Admire her creativity! Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!,1
Are those real animals,0
"Hey guys!  Can you please SUBSCRIBE to my channel,because I'm gonna filming a video so  hope you guys like it and thank you so much for you're support! Xoxo,Leah!  &lt;3 ",1
Maybe the best music video in the last 15 years? This is how pop music is  done folks!,0
I love KATY PERRY &lt;3 &lt;3,0
Boooobs,0
"I really don't understand how this has 600 million views lol. I'm not  hating or anything, it's just confusing. ",0
Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! â¥â¥â¥â¥â¥â¥,0
Katy Perry You Are Looking Soo PRETTY DAMN CUTE :-* :-*,0
great song you go katy!,0
looooooooooooooooooooovvvvvvvvveeeeeeeeeeee ittttttttttttt,0
My telephone!,0
This comment will randomly get lot's of likes and replies for no reason. I  also like Jello. Strawberry jello.,0
"Hey guys! I've made a amazing Smiley T-Shirt.Of all the things you wear,  your expression is the most important and remember all the statistics in  the world canât measure the warmth of a smile. If you're a big fan of  T-Shirts and want to gets more happiness, it's perfect for you.  Check this  out and buy it at www.teespring.com/smiley12 =)) thanks you guys so  much!!! ",1
"really want this video to get 1 billion views, would be amazing!",0
Katy has the voice of gold. this video really brings the lyrics to life. I  am a rapper with 25000 subscribers.. thumbs up if you hate when you take a  shit and the water splashes your nuts,1
"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ",0
How can this song have 629 million views while there are only 7 million  people in the world?,0
Katy Perry is garbage. Rihanna is the best singer in the world. ,0
https://www.reverbnation.com/slicknick313/songs,1
"Katy Perry is part of me Katy Perry is my firework Katy Perry, I love you",0
This Song Was Good Until It Got Overplayed The Hell Out Of On Radio,0
"see it all, human folly right?",0
Great.This is a song,0
Awesum song!! Jus luv it!,0
Watch my videos xx,1
Please check out my acoustic cover channel :) thanks ,1
Imagine this in the news crazy woman found acting like a tiger and bit jims  ear off,0
selfie alert,0
Your going to hear me Roar !!!! :-))))   #soundsofsunday ,0
It is a shit,0
She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html,1
"THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS  WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/",1
Katty perry please say in one of your new videoes that they follow the  Girls Girls please,1
i am a big fan of you and i love you,0
https://viralangels.com/user/d4aaacwk,1
I &lt;3 Katy Perry!,0
"Since she is a feminist champion, why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldn't even appreciate it?",0
http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ,1
http://thepiratebay.se/torrent/10626048/The.Expendables.3.2014.DVDScr.LEAKED.CLEAN.XviD.MP3-RARBG ,1
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02,1
"This is fucking shit. From the first notes, that becomes clear. Complete  and utter shit. May God come and cleanse the earth of the complete and  utter idiocy which is humankind.",0
Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks,1
Please subscribe every sub gets a shout out tell me what type of videos u  want and I will try make it happen,1
Hey guys subscribe to my channel for no reason! Please!..,1
Katycat! https://m.facebook.com/profile.php?id=1461302180794905,1
At least she didn't get rid of her completely useless makeup.,0
I love roar and Katy Perry. She is my favorite singer and sometimes I just  mute the volume and look at her!,0
This is the best of the best video in world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
"She's got it all. Incredible voice, extremely hot, nice tits",0
--&gt;ATTENTION KATYCATS! Katy leads with 7 noms at this year MTV EMA! do vote daily for her: tv.  mtvema. com/vote (delete spaces) thumbs up and share on fb,1
I really like this song.,0
my son love so much,0
Y LOVE YOU,0
follow me on instagram bigboss286,1
why the elephant have a broken horn,0
Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b,1
Where did she find all that make up in a freakin jungle?!,0
so cute that monkey *-*! ,0
Nice song,0
subscribe please ,1
"You are all sheep, period. This is terrible music.",0
"A  friend of mine has invented a big dick formula. He had a small dick (4  inches) and he did some research about this topic. During the research, he  found out the secret knowledge of penis enlargement. He applied what he  had learned and now he has a 7 inch dick. He was absolutely amazed by his  results. Of course, it took a few months. Therefore, he has written a book  about this issue in order to help guys. He asked me to promote his book :)  So, guys if you are interested and for more info check this out  https://payhip.com/b/oTIb  . He is selling it for symbolic Â£1. Thank you ;)",1
In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!,0
Please look at my channel,1
My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!,1
https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee,1
katy is beautiful. and this song is catchy. I'm a rapper with 25000  subscribers.. thumbs up if you hate when you take a shit and the water  splashes your balls,1
I love her green eyes,0
How old is Katy perry?,0
most popular video on youtube  ,0
NOKIA spotted,0
"I hear this all the time on radio and its really irritating. That being  said, i like the video",0
Hi everyone! My dream is to have passionate sex with Katy Perry. Some people do not believe in meâ¦but maybe you will. Sex is a giant part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please SUBSCRIBE!,1
Fantastic!!!,0
j aiiima plzzz  https://www.facebook.com/pages/%C3%89c%C3%B8l%CE%B5-al-ma%CE%B7b%CE%B5t/302703146601369 ,1
https://vimeo.com/107297364,1
She's awesome XD,0
Katy perry songs aren't that bad ,0
hi beaties! i made a new channel please go check it out and subscribe and  enjoy!,1
https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo,1
Our Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw,1
https://www.facebook.com/pages/Komedi-burda-gel/775510675841486,1
https://www.facebook.com/profile.php?id=100007085325116,1
That's Good :),0
http://www.googleadservices.com/pagead/aclk?sa=L&amp;ai=CSyOEB1wxVPCfL7D27AbGpYDgBJDPm6IH6MHu05wBgJXbv8sBEAEgkN7lJVCF7byH_f____8BYIOFgICAHKABsKG31wPIAQKpAh_KmC0hBpM-qAMByAPBBKoEkwFP0KullxqI1MG6o43HVzE-eFMqRG4Tu5LLBU_fsZ8gn0HBkJhBX-m83W1TS3_3Dx_HwPdX1Kazsj8o7SIEcVJjmBNsWyiJEcqvHXLbdzStUBOFaloYInWm0_rOOCppS2AuAT6zguICKm0lI83duwMAbzqvenE8TRfAzOrltBb037VzYv_XI4hBNQ2nvh19MrBgE0SIBgGgBgKAB7jeyCg&amp;num=1&amp;cid=5Ggs_m_9mA3TI40fS6mVPICS&amp;sig=AOD64_1OFC7Seh_1pOp-jYrbS7X6-heeNQ&amp;client=ca-pub-8252267209931889&amp;adurl=http://blog.2parale.ro/2014/10/challenge-pentru-afiliati-aplica-la-noile-programe-de-afiliere-si-fii-business-boomerul-lunii/&amp;nm=2&amp;mb=2&amp;bg=!A0QoUc7Q48v3_QIAAABpUgAAACsqAR0_VgOQWQxjmPUyvKoSf3K-q1BvKf9ZE4jhNC3ovckKxCbAFzZpAJiBXWBvVq4jrDgZ8q3rInlwgaBy_bXlfw7ma6dk0RJG14ZkRyizwqdi7HxgGE9tNDD9abflTFkBMbFfcJixNtHwbwkJ6N2onLH2D9EvEagPhoEwXOgBnu5ibgtRkgnAcQ1OIbgMzgAFNSc0lsaRiqj8HQR8T12dWv_7biY4k6I3y4yubloTdE_4XVKlnVeADZzF1L_xRYQkE6Wsur3EdLJWGk8fLq_QALdI-wAzNuysgqjNRDY6VucKLplZONyiSdKc9ebX-0dbHjZdW0LbsJBi40gXm0D0p5KRhv8XInQlI53__wQBaHS8zX4MJHw5vWrkPXFOeKs ,1
Awesome video this is one of my favorite  songsððððððð¸¸¸¸¸¸¸¸ððððððððððððð,0
If only I had the body like Katy Perry :)). She looks so hot. I love her  ^^!,0
DOWNLOAD RAPID FACEBOOK FOR FREE NOW https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid,1
"The song is very good ...but the video makes no sense...just a nonsense  video...I mean she is telling her story of being stuck on an island, but  the song doesn't fit in the situation...but nvm...The song is good",0
Who else would give Katy perry a good old mighty roar? ;),0
OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE,0
https://www.paidverts.com/ref/tomuciux99 esyest money ever. join to our  team!!!!,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8,0
FREe ITunes Gift card http://shhort.com/a?r=x6J4gBrne,1
"i was playing this song and the baby in my belly started to dance to  it.....sooooo cute, but had to take the song out cause of copy right and  add in a youtube made song....still sooo cute the baby danced to this song  LMFAO!!! https://plus.google.com/111982027348137311818/posts/g2JVinPueMo",1
katy perry is awesome,0
this song is so addicting. the hook is dope and catchy. love the video too.  I'm getting popular fast because i rap real.. thumbs up if you piss next to  the water in the toilet so its quiet................................,1
Nice song .See my new track.,1
I love this sooooooooooooong I love katy perry,0
What does that tattoo on her right tricep say?,0
Since when has Katy Perry had her own YouTube channel?,0
"Every time I watch this mv I just so so so glad that I live in a world that  don't have to worry about running from a real, human eating tiger.",0
i rekt ur mum last nite. cuz da haterz were 2 much 4 meh lik dis if u cri evertim and sponswer mi robox vidz https://www.indiegogo.com/projects/gimme-dem-moneyz-4-roblox/x/8851222#home,1
"""eye of the tiger"" ""i am the champion"" seems like katy perry is using  titles of old rock songs for lyrics..",0
She is a perfect wonder.....,0
https://www.indiegogo.com/projects/help-stop-my-poverty-cyber-pan-handleing/x/8692160#home ,1
she is horrible at acting. cringe-worhty.,0
"I love katy fashions tiger, care to visit my blog sinar jahitan  I also have the tiger collections tqvm",1
"Anyone Who LOVEs music , please go check out my youtube page and tell me  what you think . I just put a video up and will be doing more song. I'm  just trying to get myself started. Any love is much Appreciated ",1
Is that tiger called 'Katty Purry'?,0
"blue eyes, can't be trusted.  uranus bless america.",0
"Rap from Belarus, check my channel:)",1
follow me on twitter: freyacumqueen,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8,0
"C'mon Katy you are so close to 14,000,000 subscribers...come up with  another hit like this and it will happen",0
VOTE FOR KATY FOR THE EMAs! #KATYCATS  http://tv.mtvema.com/artists/katy-perry/i38xh1,1
"My honest opinion. It's a very mediocre song. Nothing unique or special  about her music, lyrics or voice. Nothing memorable like Billie Jean or  Beat It. Before her millions of fans reply with hate comments, i know this  is a democracy and people are free to see what they want. But then don't I  have the right to express my opinion? Please don't reply with dumb comments  lie ""if you don't like it don't watch it"". I just came here to see what's  the buzz about(661 million views??) and didn't like what i saw. OK?",0
Visit my channel,1
Wow she is sexy XD,0
If you looking for new music to listen to check out cece song called  dead2me on iTunes music video out now right here on youtube.,1
Katy has a voice of an Angel,0
"Hey guys, I was working last night on this project, it's a music streamer  like spotify, but it allows you to download the files to listen to when  you're offline. Opening it as a free beta, feel free to try it out :) download: https://mega.co.nz/#!ehVjzKyA!5bGKg2iWPHZOHWAEUesrWnegqG_lABcO7Rw9WFX8hAo",1
"Man she is hot in this one, male companions visit my profile to check out  the coolest sextoy ever made!",1
Like my page please...  https://m.facebook.com/Dreaddis?ref=m_notifÂ¬if_t=fbpage_fan_invite&amp;actorid=1442646731  ,1
This video is so racist!!! There are only animals.,0
Man she is BEAUTIFUL!,0
want to win borderlands the pre-sequel? check my channel :),1
Hi! I would appreciate it if you all could help to like this poster on  Facebook:  https://www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/?type=3&amp;theater ,1
Plz help me getting 1.000 Subscribers tonight/today.  Thanks to all who sub me :),1
Yesterday this video have 1 million likes and now it has 2 million,0
why tiger succumbs to a beautiful girl ?.probably male tiger.....????   ha.ha.ha..,0
Best song ever ,0
Thank you KatyPerryVevo for your instagram likes @axeljonssons,1
Please Subscribe In My Channel â,1
"She is good. Does she make any more music? If she doesn't, she should!",0
I LOVE YOU KATTY PERRY &lt;3 ,0
"HONESTLY, I WANNA SEE YOU BE BRAVE! oh wait...",0
;-),0
this video is great .....!!! I love this........and like much katy perry,0
"Good thing she brought her spray-on tan, hairstylist, makeup artist, and  cameraman.",0
"666,002,018 views! 666 million. 666! Katy Perry illuminati confirmed!!!",0
"I make guitar covers, please have a look at my channel",1
It should be illegal to be this goodlooking as this babe is...,0
katy is mine the girl of my dreams â¥,0
I love this song,0
She is fit,0
I love the song roar it make me think am fill the way,0
